#TABLE 5,,,,,,,,,
#,,,,,,,,,
#Summary of Observations of Leo I Targets,,,,,,,,,
#,R b,P.A.b,v h,vh,,,,,
#IDa,(arcsec),(deg),( km s1 ),( km s1),J2000.0,J2000.0,I,V  I,SRCc
#(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
1....................,2.3,77.2,283.3,1.6,10 8 27.15,12 18 30.5,18.34,1.27,7
2....................,6.6,358.7,294.9,1.9,10 8 26.99,12 18 36.6,18.34,1.28,6
3....................,11.6,329.6,274.1,1.8,10 8 26.6,12 18 40.0,17.99,1.43,8
4....................,28.4,48.0,281.4,1.8,10 8 28.44,12 18 49.0,17.89,1.40,8
5....................,32.9,86.7,287.4,2.0,10 8 29.24,12 18 31.9,17.51,1.58,1234
6....................,35.4,158.2,264.8,1.9,10 8 27.9,12 17 57.1,18.19,1.50,6
7....................,36.7,160.1,287.8,2.0,10 8 27.85,12 17 55.5,17.89,1.63,7
8....................,43.3,143.7,288.4,2.0,10 8 28.75,12 17 55.1,18.55,1.26,5
9....................,46.9,299.3,280.8,1.8,10 8 24.21,12 18 52.9,18.67,1.35,7
10..................,51.1,15.5,291.6,1.7,10 8 27.93,12 19 19.2,18.31,1.35,7
11..................,52.2,226.4,292.9,1.8,10 8 24.42,12 17 54.0,18.30,1.39,8
12..................,55.4,278.3,295.9,2.8,10 8 23.26,12 18 38.0,17.74,1.62,148
13..................,58.5,170.6,293.9,2.0,10 8 27.65,12 17 32.3,17.73,1.72,5
14..................,58.6,176.4,285.2,1.8,10 8 27.25,12 17 31.5,18.30,1.37,6
15..................,60.1,84.5,271.8,1.9,10 8 31.08,12 18 35.8,18.52,1.37,6
16..................,60.2,279.4,283.6,2.1,10 8 22.95,12 18 39.8,18.32,1.34,58
17..................,62.0,298.4,263.1,2.0,10 8 23.28,12 18 59.5,18.29,1.43,6
18..................,63.1,247.2,278.9,2.1,10 8 23.03,12 18 05.6,18.42,1.27,5
19..................,64.6,356.2,278.5,2.0,10 8 26.71,12 19 34.5,18.28,1.46,6
20..................,65.5,244.8,297.6,1.9,10 8 22.96,12 18 02.1,18.53,1.24,6
21..................,67.4,327.4,278.6,2.0,10 8 24.52,12 19 26.8,18.72,1.32,6
22..................,67.8,44.1,285.4,1.8,10 8 30.22,12 19 18.7,18.19,1.43,8
23..................,69.8,168.2,281.2,1.9,10 8 27.97,12 17 21.7,18.06,1.35,24
24..................,69.8,221.4,286.4,1.8,10 8 23.85,12 17 37.7,18.50,1.34,6
25..................,71.3,70.0,285.2,2.3,10 8 31.57,12 18 54.4,17.85,1.46,234
26..................,75.6,188.6,277.2,1.8,10 8 26.23,12 17 15.2,18.26,1.36,7
27..................,75.9,52.2,303.6,1.6,10 8 31.09,12 19 16.5,18.22,1.50,7
28..................,77.9,302.2,283.9,2.0,10 8 22.5,12 19 11.5,18.21,1.41,348
29..................,82.2,348.9,284.0,1.8,10 8 25.92,12 19 50.7,18.61,1.24,7
30..................,85.6,106.3,277.9,1.8,10 8 32.61,12 18 06.0,17.76,1.47,8
31..................,86.8,109.9,289.3,2.4,10 8 32.57,12 18 00.5,18.03,1.38,138
32..................,87.8,6.5,277.0,1.7,10 8 27.68,12 19 57.2,18.42,1.32,7
33..................,87.9,212.6,279.5,1.7,10 8 23.77,12 17 15.9,18.36,1.43,7
34..................,89.0,35.2,271.0,2.0,10 8 30.5,12 19 42.7,18.91,1.32,5
35..................,91.1,228.6,275.7,1.7,10 8 22.34,12 17 29.7,18.89,1.26,7
36..................,93.1,209.1,281.6,2.1,10 8 23.91,12 17 08.7,17.67,1.57,1248
37..................,93.5,102.4,292.7,2.0,10 8 33.23,12 18 09.9,18.32,1.35,5
38..................,99.1,312.8,275.2,2.2,10 8 22.04,12 19 37.4,17.76,1.57,1258
39..................,101.1,279.2,277.7,1.9,10 8 20.19,12 18 46.2,18.24,1.40,6
40  ................,101.1,344.4,300.3,6.5,10 8 25.14,12 20 07.4,18.16,1.42,58
41..................,103.6,175.5,277.9,1.8,10 8 27.55,12 16 46.7,18.33,1.38,8
42..................,105.7,33.2,275.5,2.0,10 8 30.95,12 19 58.4,18.17,1.41,1
43..................,105.8,245.1,273.3,1.8,10 8 20.45,12 17 45.4,18.26,1.52,8
44..................,111.1,4.2,286.8,2.0,10 8 27.55,12 20 20.8,18.33,1.34,358
45..................,113.0,173.9,287.8,1.8,10 8 27.82,12 16 37.6,18.39,1.39,8
46..................,113.0,310.4,289.6,1.8,10 8 21.13,12 19 43.3,18.30,1.43,8
47..................,114.2,245.1,280.9,2.1,10 8 19.93,12 17 41.9,17.24,1.84,124
48..................,115.4,298.1,299.3,2.3,10 8 20.05,12 19 24.3,18.35,1.37,25
49..................,115.6,128.2,291.5,2.9,10 8 33.2,12 17 18.5,18.20,1.44,58
50..................,115.9,191.5,288.0,2.0,10 8 25.43,12 16 36.4,18.74,1.30,6
51..................,117.4,289.7,284.7,1.8,10 8 19.46,12 19 09.6,19.12,1.17,7
52..................,120.0,10.6,289.1,1.8,10 8 28.5,12 20 28,18.09,1.53,8
53..................,120.3,31.9,282.7,1.9,10 8 31.34,12 20 12.1,18.63,1.11,6
54..................,122.1,103.5,289.2,2.0,10 8 35.1,12 18 01.4,19.20,1.21,6
55..................,123.8,326.8,281.1,2.0,10 8 22.37,12 20 13.5,19.06,1.29,6
56..................,124.9,22.8,293.3,1.8,10 8 30.3,12 20 25.2,18.82,1.20,7
57..................,127.0,168.6,291.8,2.1,10 8 28.71,12 16 25.5,17.73,1.53,12348
58..................,127.5,279.3,269.1,1.7,10 8 18.41,12 18 50.5,18.19,1.46,3
59..................,130.5,247.0,284.0,1.9,10 8 18.8,12 17 39.0,19.22,1.25,6
60..................,130.6,183.3,296.1,1.8,10 8 26.49,12 16 19.6,18.25,1.24,8
61..................,131.8,88.9,267.6,2.1,10 8 35.99,12 18 32.5,18.36,1.37,4
62..................,132.4,326.9,308.3,2.6,10 8 22.06,12 20 20.9,17.88,1.41,2348
63..................,133.2,157.0,301.4,1.9,10 8 30.55,12 16 27.4,18.64,1.21,7
64.....................,134.4,19.8,289.0,2.0,10 8 30.11,12 20 36.4,18.59,1.37,6
65.....................,135.0,344.5,297.6,2.7,10 8 24.53,12 20 40.1,17.56,1.62,1234
66.....................,135.2,59.3,286.8,2.0,10 8 34.93,12 19 39.0,17.83,1.54,48
67.....................,137.6,232.1,288.5,1.7,10 8 19.59,12 17 05.5,18.45,1.39,7
68.....................,138.0,118.3,311.1,3.7,10 8 35.29,12 17 24.5,17.67,1.72,158
69.....................,138.0,233.2,284.2,1.8,10 8 19.46,12 17 07.4,17.72,1.72,8
70.....................,141.6,167.0,282.0,1.9,10 8 29.18,12 16 12.1,18.63,1.29,6
71.....................,142.8,224.1,284.4,1.9,10 8 20.22,12 16 47.4,18.34,1.42,5
72.....................,142.8,228.4,299.5,2.0,10 8 19.72,12 16 55.1,18.54,1.36,4
73.....................,143.3,249.7,296.5,1.7,10 8 17.83,12 17 40.3,18.45,1.37,7
74.....................,144.7,304.0,275.6,1.8,10 8 18.81,12 19 50.8,19.01,1.28,7
75.....................,145.0,275.9,283.4,1.8,10 8 17.16,12 18 44.9,18.20,1.39,5
76.....................,145.4,188.6,273.7,1.8,10 8 25.51,12 16 06.2,19.38,1.17,7
77.....................,146.2,278.7,281.7,2.9,10 8 17.14,12 18 52.0,17.77,1.49,14
78.....................,146.3,264.1,286.9,1.8,10 8 17.07,12 18 14.9,17.94,1.55,8
79.....................,146.4,267.9,277.6,1.6,10 8 17.02,12 18 24.7,18.44,1.34,7
80.....................,147.4,302.8,287.2,1.9,10 8 18.55,12 19 49.9,18.34,1.39,6
81.....................,148.6,353.8,269.8,1.9,10 8 25.91,12 20 57.7,18.99,1.21,6
82.....................,150.3,334.4,285.2,1.7,10 8 22.56,12 20 45.5,18.74,1.28,7
83.....................,151.8,108.3,281.6,1.9,10 8 36.83,12 17 42.3,18.32,1.35,2
84.....................,151.9,213.1,278.9,2.0,10 8 21.34,12 16 22.8,18.47,1.29,5
85.....................,152.6,163.1,292.5,2.8,10 8 30.02,12 16 04.0,18.24,1.46,18
86.....................,155.0,208.7,293.9,1.8,10 8 21.92,12 16 14.0,18.23,1.44,8
87.....................,157.4,172.5,276.4,1.8,10 8 28.41,12 15 54.0,18.23,1.36,8
88.....................,157.4,221.0,283.9,2.1,10 8 19.96,12 16 31.2,19.66,1.16,6
89.....................,158.4,69.9,280.7,1.9,10 8 37.15,12 19 24.4,17.82,1.46,1234
90.....................,161.0,220.1,273.9,1.6,10 8 19.92,12 16 26.9,18.45,1.37,7
91.....................,165.4,35.3,295.6,2.5,10 8 33.52,12 20 45.0,18.11,1.37,358
92.....................,167.6,3.7,293.3,2.0,10 8 27.74,12 21 17.2,18.21,1.36,134
93.....................,168.7,235.1,281.9,1.8,10 8 17.56,12 16 53.4,18.10,1.34,5
94.....................,169.7,5.0,291.9,1.9,10 8 28,12 21 19.1,18.71,1.40,6
95.....................,173.1,98.2,289.1,2.1,10 8 38.69,12 18 05.2,18.29,1.39,13
96.....................,177.1,55.0,295.0,1.8,10 8 36.9,12 20 11.5,17.68,1.57,3
97.....................,178.4,253.3,271.2,1.9,10 8 15.34,12 17 38.6,18.22,1.54,5
98.....................,179.8,98.3,278.0,1.8,10 8 39.14,12 18 04.1,19.10,1.12,7
99.....................,180.2,320.3,270.7,1.7,10 8 19.15,12 20 48.7,18.56,1.36,7
100...................,180.7,260.9,289.5,2.0,10 8 14.83,12 18 01.3,18.41,1.36,5
101...................,180.8,302.5,282.4,1.6,10 8 16.59,12 20 07.1,17.75,1.55,3
102 .................,181.3,328.1,271.0,4.9,10 8 20.46,12 21 03.9,18.00,1.49,28
103...................,183.2,19.7,291.6,2.1,10 8 31.22,12 21 22.4,19.43,1.24,1
104...................,184.8,261.4,292.6,2.1,10 8 14.53,12 18 02.4,17.51,1.72,2
105...................,185.0,74.9,273.5,1.9,10 8 39.19,12 19 18.1,18.34,1.34,5
106...................,187.9,349.2,285.4,2.0,10 8 24.6,12 21 34.6,19.14,1.21,6
107...................,189.5,144.5,300.8,2.1,10 8 34.5,12 15 55.7,17.77,1.58,124
